name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2021-10-07,14.3,8.4,11.7,14.3,6.9,11.3,2.7,54.4,117.93,100,4.17,rain,0.0,0.0,,14.6,102.6,1022.7,3.2,10.0,279.0,23.9,10,,2021-10-07T06:21:30,2021-10-07T19:01:33,0.01,Rain,Clear conditions throughout the day with morning rain.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-08,15.5,11.2,13.6,15.5,11.2,13.6,7.6,67.5,0.0,0,0.0,,0.0,0.0,,28.4,89.7,1020.0,55.5,10.0,142.5,12.3,8,,2021-10-08T06:20:08,2021-10-08T19:02:20,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-09,18.3,11.8,15.3,18.3,11.8,15.3,10.2,72.1,0.0,0,0.0,,0.0,0.0,,29.2,104.5,1020.3,21.6,10.0,275.0,23.8,10,,2021-10-09T06:18:48,2021-10-09T19:03:07,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-10,19.3,14.7,16.8,19.3,14.7,16.8,13.5,81.3,0.0,0,0.0,,0.0,0.0,,24.8,94.2,1018.8,62.2,10.0,153.1,13.1,6,,2021-10-10T06:17:28,2021-10-10T19:03:55,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
Argentina,2021-10-11,19.8,15.9,17.2,19.8,15.9,17.2,14.9,86.5,0.63,100,12.5,rain,0.0,0.0,,17.6,129.9,1016.2,90.1,9.1,76.7,6.7,3,,2021-10-11T06:16:08,2021-10-11T19:04:44,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-12,19.8,15.2,17.5,19.8,15.2,17.5,15.0,85.1,0.05,100,4.17,rain,0.0,0.0,,14.3,130.4,1012.6,91.7,9.3,102.6,8.9,4,,2021-10-12T06:14:49,2021-10-12T19:05:32,0.21,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-13,19.9,16.3,17.9,19.9,16.3,17.9,15.1,84.0,0.19,100,4.17,rain,0.0,0.0,,11.7,160.9,1008.4,85.0,8.8,50.6,4.3,3,,2021-10-13T06:13:31,2021-10-13T19:06:21,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-14,24.2,12.9,17.0,24.2,12.9,17.0,12.3,75.1,0.0,0,0.0,,0.0,0.0,53.6,29.6,270.2,1006.6,36.8,9.4,256.8,22.4,10,,2021-10-14T06:12:13,2021-10-14T19:07:11,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-15,19.0,10.9,14.7,19.0,10.9,14.7,3.4,50.1,0.0,0,0.0,,0.0,0.0,,20.1,143.4,1020.6,45.1,10.0,269.2,23.5,10,,2021-10-15T06:10:57,2021-10-15T19:08:00,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-16,18.4,10.5,15.5,18.4,10.5,15.5,4.5,49.2,0.0,0,0.0,,0.0,0.0,,17.4,127.8,1023.7,5.3,10.0,276.7,24.0,10,,2021-10-16T06:09:41,2021-10-16T19:08:51,0.42,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
